,numepolice,annee_reference,n_sinistre,montantsinistre
99.1,218285,2012,20122176,1372.2414092643
99.2,218285,2012,20122177,4638.79283434073
99.3,218285,2012,20122178,44930.7234991198
104,181561,2017,20122179,2549.59261813706
104.1,181561,2017,20122180,1484.26342976563
106,319700,2008,20122181,474.094337197975
107,636790,2012,20122182,8064.52725116363
107.1,636790,2012,20122183,7053.1107849429
111,854239,2011,20122184,1779.43571926843
114,880018,2011,20122185,1424.79227137294
115,885784,2017,20122186,106778.015696236
115.1,885784,2017,20122187,25329.2190166187
115.2,885784,2017,20122188,41998.6879146876
116,128774,2009,20122189,219.237986676611
119,826000,2014,20122190,821.152162147324
120,110693,2015,20122191,334.474352423289
123,845056,2010,20122192,1245.75794035953
126,145776,2008,20122193,2590.20825427528
126.1,145776,2008,20122194,5593.18559055809
127,992951,2014,20122195,330.492951026648
130,288481,2010,20122196,2067.3041069217
130.1,288481,2010,20122197,1730.89890533194
132,794204,2012,20122198,2652.6397115184
133,763975,2015,20122199,11174.823825023
133.1,763975,2015,20122200,11648.9839233988
137,118899,2008,20122201,1668.23513599146
137.1,118899,2008,20122202,116.154472924603
138,380727,2008,20122203,198.022541144744
144,665361,2017,20122204,1910.47876263122
144.1,665361,2017,20122205,39464.7478519412
144.2,665361,2017,20122206,66241.0053572866
145,740274,2008,20122207,627.200208945161
148,592165,2011,20122208,162.971785507497
149,986894,2017,20122209,16.5837443485241
150,638849,2009,20122210,172.278007992307
152,66624,2012,20122211,218.463877060503
153,115107,2014,20122212,96.7233373446308
154,840685,2010,20122213,6656.27263870332
156,216268,2012,20122214,737.032916706703
156.1,216268,2012,20122215,21328.7686141507
162,862942,2011,20122216,501.360274144178
163,799219,2012,20122217,278.639254899195
165,891318,2013,20122218,4073.85161071367
166,364715,2017,20122219,241.319061185245
167,70297,2013,20122220,5755.1722395962
167.1,70297,2013,20122221,2623.26710721919
171,487081,2014,20122222,1188.47456146919
171.1,487081,2014,20122223,540.648066544178
172,656981,2009,20122224,13435.9920438357
172.1,656981,2009,20122225,16946.9561188716
172.2,656981,2009,20122226,7841.38855825112
179,744115,2013,20122227,1769.15863224317
180,834058,2017,20122228,161.723503440718
181,394781,2009,20122229,3392.34717283747
181.1,394781,2009,20122230,3761.71364976561
183,275895,2014,20122231,583.271478090729
185,764513,2014,20122232,1077.0539440437
187,503998,2011,20122233,3186.58523273336
193,786117,2010,20122234,1786.98683563792
194,86019,2010,20122235,28.1349928644663
195,744191,2017,20122236,156.851262338442
196,3459,2012,20122237,2949.75200546302
202,968297,2015,20122238,1241.41617429396
203,177539,2008,20122239,2650.63098412253
203.1,177539,2008,20122240,4650.24092722681
208,730540,2010,20122241,7157.89888090412
208.1,730540,2010,20122242,275.267881443514
209,83610,2010,20122243,230.345777344731
212,252455,2009,20122244,31798.1147244838
212.1,252455,2009,20122245,6290.8710371615
218,992437,2013,20122246,178.126038032997
219,942094,2013,20122247,301.806550292989
220,742969,2012,20122248,2703.57305478675
221,316335,2014,20122249,6306.57085399145
221.1,316335,2014,20122250,811.218960031841
222,206553,2009,20122251,142.34156418155
222.1,206553,2009,20122252,1035.77209396244
223,815912,2011,20122253,336.784600726652
224,162249,2016,20122254,11725.8301039703
224.1,162249,2016,20122255,12345.1442557601
225,201537,2017,20122256,725.529083592878
225.1,201537,2017,20122257,6230.7501739712
227,211413,2011,20122258,4526.75460424914
229,875793,2017,20122259,169.616355383016
231,216257,2014,20122260,476.858202113911
232,33922,2016,20122261,657.516233670934
234,989510,2009,20122262,1070.06454556958
239,414309,2014,20122263,4338.41051168624
242,913203,2016,20122264,6211.70351963579
245,973768,2013,20122265,440.3625344288
246,869353,2008,20122266,8993.97589016828
248,417884,2010,20122267,2881.05168323772
251,436720,2016,20122268,1769.84167837148
251.1,436720,2016,20122269,1072.81384340103
252,633531,2013,20122270,4697.26273572619
254,834229,2008,20122271,1931.4053151455
257,630193,2008,20122272,719.898672040153
258,232384,2012,20122273,1051.57434805103
258.1,232384,2012,20122274,1194.46396262048
259,900616,2009,20122275,6503.8126876879
260,60605,2011,20122276,1945.88245801217
260.1,60605,2011,20122277,5460.42557253557
263,799781,2013,20122278,2714.61570941062
264,728152,2014,20122279,2400.39360447537
265,866072,2016,20122280,127.716582235402
266,917222,2017,20122281,23574.2116506015
266.1,917222,2017,20122282,6482.05521377296
269,794943,2016,20122283,10398.7609409167
269.1,794943,2016,20122284,2943.32477842854
271,755150,2012,20122285,2197.81835296607
273,672021,2011,20122286,13740.080327715
273.1,672021,2011,20122287,12157.8716557191
273.2,672021,2011,20122288,5763.53355194124
282,339460,2008,20122289,109.390762381623
284,363976,2011,20122290,141.350264024358
285,396343,2015,20122291,14621.5148925931
285.1,396343,2015,20122292,56086.0021179194
289,232714,2011,20122293,2321.47958767782
289.1,232714,2011,20122294,2793.16268055215
293,417403,2012,20122295,2008.67674606497
295,396556,2008,20122296,3952.22814885037
296,815653,2014,20122297,194.264407358895
298,124198,2013,20122298,12333.6044465871
298.1,124198,2013,20122299,14461.5358612839
298.2,124198,2013,20122300,20556.0265999983
300,125763,2014,20122301,39.3603291384439
310,803324,2010,20122302,4551.35767151884
310.1,803324,2010,20122303,521.228254235512
313,996749,2008,20122304,1756.83783819996
314,826441,2016,20122305,559.937557158297
315,904371,2016,20122306,1865.59795307621
316,528636,2016,20122307,3311.43013427999
317,599397,2009,20122308,150.92302704026
317.1,599397,2009,20122309,45.3177961944035
318,834018,2016,20122310,254.52328315292
320,358003,2016,20122311,570.322089551666
322,997069,2011,20122312,9328.8011732475
323,363417,2012,20122313,1336.11978496654
323.1,363417,2012,20122314,4485.03346305599
324,903199,2011,20122315,0.0940014300867915
330,216085,2012,20122316,1575.38005766694
330.1,216085,2012,20122317,11885.3048959369
330.2,216085,2012,20122318,3211.73613750237
331,36293,2008,20122319,991.913833776872
333,535142,2017,20122320,2816.30190892064
333.1,535142,2017,20122321,16794.9805615036
334,382590,2009,20122322,5099.58376673883
338,24814,2010,20122323,770.164604588825
340,145554,2009,20122324,2358.79109117117
344,997050,2009,20122325,3873.5198256671
356,441985,2012,20122326,16784.2769599444
356.1,441985,2012,20122327,2486.63658339276
359,986825,2017,20122328,3092.10926887833
362,238218,2008,20122329,74.6692463531651
367,885465,2013,20122330,665.955204522603
367.1,885465,2013,20122331,2526.75716792374
372,832872,2010,20122332,820.745485287056
374,398826,2009,20122333,1045.54406005522
376,242929,2015,20122334,5990.82150617375
376.1,242929,2015,20122335,7425.39831812148
379,446694,2015,20122336,495.150425197692
384,832142,2014,20122337,13555.0361682057
384.1,832142,2014,20122338,878.292578019211
385,919444,2011,20122339,2984.76277836214
385.1,919444,2011,20122340,8416.1951465625
387,444111,2014,20122341,18623.7430291726
387.1,444111,2014,20122342,21954.2486894581
389,890981,2015,20122343,7030.49497947221
389.1,890981,2015,20122344,2847.17558852752
391,594133,2016,20122345,468.187975208834
393,985687,2015,20122346,196.424959260162
394,332114,2008,20122347,7298.64879578663
397,988212,2015,20122348,1786.09447014818
398,692815,2011,20122349,462.79011283243
403,4100,2010,20122350,26374.2514526543
403.1,4100,2010,20122351,4770.20093981732
404,417103,2016,20122352,5994.5570724177
407,136492,2008,20122353,230.012075082597
410,322265,2010,20122354,468.547323720242
411,24220,2016,20122355,1443.03557611138
412,946752,2008,20122356,3315.16544457251
414,608633,2013,20122357,524.271240566203
416,238330,2009,20122358,14335.9589421058
416.1,238330,2009,20122359,10514.9410861314
420,568377,2008,20122360,10.1136037067797
421,598266,2010,20122361,394.681314743619
426,109081,2011,20122362,1417.27883813692
426.1,109081,2011,20122363,2880.85869374497
427,156254,2017,20122364,4809.52367796805
427.1,156254,2017,20122365,2924.7347843068
430,487098,2008,20122366,188.700676203729
432,68189,2017,20122367,491.347845237623
435,333796,2014,20122368,252.549777242062
437,689446,2008,20122369,4665.72457236431
440,307270,2011,20122370,751.081401303308
442,935983,2008,20122371,6019.71865302534
442.1,935983,2008,20122372,164.264337825014
448,149718,2017,20122373,3762.76049244433
449,952265,2013,20122374,6747.67347077284
451,343913,2017,20122375,1320.43001701859
451.1,343913,2017,20122376,7613.27956286756
451.2,343913,2017,20122377,14817.4813692171
455,800723,2010,20122378,31508.3110651367
455.1,800723,2010,20122379,6039.0626964268
455.2,800723,2010,20122380,4499.84296200772
455.3,800723,2010,20122381,8008.05069901984
455.4,800723,2010,20122382,6435.11949856887
456,106264,2017,20122383,479.551568979151
457,969657,2014,20122384,1639.55930855138
457.1,969657,2014,20122385,3934.41276341612
461,252453,2012,20122386,946.119488247557
465,792930,2014,20122387,11631.4214778522
465.1,792930,2014,20122388,763.112882270522
468,612844,2008,20122389,3249.1754087447
468.1,612844,2008,20122390,1052.37357401659
468.2,612844,2008,20122391,3744.8657571102
469,632645,2016,20122392,1756.47373948665
469.1,632645,2016,20122393,74.7249549928262
470,957957,2017,20122394,19680.9194236622
470.1,957957,2017,20122395,1315.07703909726
470.2,957957,2017,20122396,5933.11724247175
473,102791,2012,20122397,46.2712464942883
476,291464,2013,20122398,10905.3419327261
479,822860,2010,20122399,263.209298736264
480,919325,2016,20122400,421.972408201035
481,249893,2012,20122401,532.096615864476
486,915987,2013,20122402,20131.526394563
486.1,915987,2013,20122403,2226.72417124817
487,608072,2008,20122404,5758.89758804209
489,367728,2013,20122405,7741.51781638824
489.1,367728,2013,20122406,3134.53907582627
490,970009,2015,20122407,702.299642202799
491,786344,2010,20122408,25013.7551326165
491.1,786344,2010,20122409,7072.62885557876
492,288753,2017,20122410,2841.0077581213
492.1,288753,2017,20122411,8444.08964271168
493,552285,2017,20122412,118.093363910343
494,232463,2008,20122413,702.976333888377
494.1,232463,2008,20122414,22051.1354812992
498,887008,2014,20122415,116.844971878988
501,920166,2016,20122416,172.452449202159
503,5708,2017,20122417,8468.59949213588
506,718038,2013,20122418,1608.50985144411
509,695945,2015,20122419,3354.34253804042
509.1,695945,2015,20122420,2078.56978822186
510,662016,2014,20122421,8480.13267908632
510.1,662016,2014,20122422,8053.28248488273
512,823040,2012,20122423,4143.0642966619
512.1,823040,2012,20122424,10389.4608506766
512.2,823040,2012,20122425,15854.7737772144
514,654998,2011,20122426,23759.7596207061
514.1,654998,2011,20122427,62219.4563882257
514.2,654998,2011,20122428,11866.2276925579
529,191102,2011,20122429,8193.45066355704
529.1,191102,2011,20122430,10964.7110891302
529.2,191102,2011,20122431,1616.85097293153
529.3,191102,2011,20122432,4509.78673136211
529.4,191102,2011,20122433,5799.83820500855
532,881286,2015,20122434,1285.47175038036
534,115847,2015,20122435,16411.9387273154
536,268353,2011,20122436,4801.13731975329
537,830193,2008,20122437,3040.89754801414
541,416561,2013,20122438,1645.17729343651
543,289531,2008,20122439,2279.52058449752
549,321121,2009,20122440,419.334370643258
551,149219,2015,20122441,666.426850481838
553,197000,2008,20122442,65.6079713888015
555,226477,2012,20122443,3740.90678566298
558,591288,2010,20122444,2508.05771512716
560,287499,2008,20122445,3331.09318424273
562,327769,2010,20122446,699.35523507734
566,772463,2013,20122447,97.3046568317591
569,288674,2016,20122448,2699.1736325694
572,844635,2014,20122449,47.4038282563233
574,636415,2015,20122450,1436.33737326943
574.1,636415,2015,20122451,8659.22712651122
574.2,636415,2015,20122452,2336.74450653495
578,473104,2012,20122453,729.984478365886
581,593937,2015,20122454,344.624955902245
583,818730,2012,20122455,413.668115520064
585,867064,2016,20122456,4906.89149377515
590,113625,2011,20122457,676.152866813852
590.1,113625,2011,20122458,3663.87075266608
590.2,113625,2011,20122459,33629.3495355883
590.3,113625,2011,20122460,33261.8149223911
591,222001,2015,20122461,360.03633807524
592,986880,2013,20122462,4827.78398149659
592.1,986880,2013,20122463,261.387454734378
593,200170,2010,20122464,1510.06611556357
597,647266,2013,20122465,10.2350027402256
597.1,647266,2013,20122466,3081.26806542845
598,589177,2017,20122467,6745.10852015301
598.1,589177,2017,20122468,22274.6231832326
600,552094,2014,20122469,513.815170486502
602,230188,2017,20122470,1073.33548208804
604,759670,2012,20122471,643.058200290294
606,521091,2011,20122472,3430.61495344008
606.1,521091,2011,20122473,1565.28068224218
607,408060,2013,20122474,6503.13554213536
608,694907,2015,20122475,317.933153656822
609,938435,2013,20122476,91.3545060943356
610,3373,2008,20122477,318.703069020278
611,82947,2014,20122478,5436.51655876624
611.1,82947,2014,20122479,2499.76889939356
612,986404,2017,20122480,539.320766528315
612.1,986404,2017,20122481,1506.26837716885
614,587643,2014,20122482,242.906847407586
614.1,587643,2014,20122483,8240.92198304919
614.2,587643,2014,20122484,13125.0971401212
615,443457,2017,20122485,650.670103134841
616,22270,2014,20122486,3558.6821520376
620,359316,2009,20122487,103.408383770858
621,562147,2011,20122488,1279.17739438175
625,712458,2017,20122489,136.427068059945
626,227859,2013,20122490,378.86319622687
627,32808,2015,20122491,15.3064611648475
628,242531,2012,20122492,160.505302998589
633,340846,2013,20122493,779.125470924927
634,303163,2017,20122494,312.387950204041
635,927443,2008,20122495,1688.34069280515
636,358152,2016,20122496,3308.45745074427
636.1,358152,2016,20122497,12104.1622082376
639,370571,2009,20122498,1038.32440671559
640,163323,2013,20122499,108.116074519684
647,714840,2017,20122500,10651.7373626037
647.1,714840,2017,20122501,6502.97983983717
653,858346,2012,20122502,545.912154348786
653.1,858346,2012,20122503,5934.53734172
654,684337,2014,20122504,3073.30761027215
654.1,684337,2014,20122505,8476.89565276761
658,458233,2016,20122506,762.412060931163
662,70612,2009,20122507,9543.8487395574
662.1,70612,2009,20122508,31854.9272996404
663,392995,2011,20122509,134.886204124433
664,767943,2009,20122510,80.607103555596
666,635532,2014,20122511,1120.75553414388
667,676202,2017,20122512,926.351277724967
669,872310,2010,20122513,42879.7333059025
669.1,872310,2010,20122514,2662.0043529606
670,574952,2008,20122515,302.146199791906
671,615137,2010,20122516,380.8516266355
672,132473,2015,20122517,462.957639987872
674,658060,2009,20122518,1109.66579866889
674.1,658060,2009,20122519,41815.1238526605
674.2,658060,2009,20122520,14659.9918179706
676,6461,2015,20122521,3509.05001660055
678,743863,2011,20122522,9320.52806421504
678.1,743863,2011,20122523,982.871592614262
678.2,743863,2011,20122524,13403.4831326231
681,77706,2010,20122525,19611.9941444271
681.1,77706,2010,20122526,1240.37728971872
682,916002,2014,20122527,548.120447114528
682.1,916002,2014,20122528,599.980694022943
683,856095,2015,20122529,346.736538312924
685,675272,2015,20122530,6772.6748640049
685.1,675272,2015,20122531,16442.3739620745
685.2,675272,2015,20122532,29639.1549800365
687,659474,2011,20122533,17312.3827817668
687.1,659474,2011,20122534,15472.2687138301
688,179508,2011,20122535,67.7261992664682
691,652546,2014,20122536,2088.03770836013
691.1,652546,2014,20122537,11390.0045437289
693,975321,2014,20122538,4053.78291700461
694,808830,2015,20122539,57928.2579660234
694.1,808830,2015,20122540,35664.8400195343
694.2,808830,2015,20122541,6926.58752045885
694.3,808830,2015,20122542,67781.8327599902
697,705909,2015,20122543,392.948826906892
699,34004,2014,20122544,2039.16410915553
702,480775,2017,20122545,2008.16148234969
705,13474,2017,20122546,230.888795753443
707,34634,2014,20122547,3947.82558095179
707.1,34634,2014,20122548,5793.28382833249
714,893545,2010,20122549,9063.19347354937
714.1,893545,2010,20122550,5054.99092225067
715,887002,2013,20122551,2291.01979486247
716,88027,2009,20122552,5689.82012770247
716.1,88027,2009,20122553,5980.44729901488
716.2,88027,2009,20122554,4294.15504152351
717,446083,2010,20122555,5738.66794714794
717.1,446083,2010,20122556,11775.8286094875
718,675204,2012,20122557,1386.48257067969
724,7211,2013,20122558,60.2865116823882
725,240308,2009,20122559,557.551343190599
726,609306,2012,20122560,277.755002662831
731,395465,2009,20122561,9369.4127817327
731.1,395465,2009,20122562,9198.28921260407
731.2,395465,2009,20122563,7519.25435495623
731.3,395465,2009,20122564,16031.5645869803
734,20188,2011,20122565,2727.16661386658
734.1,20188,2011,20122566,300.222511176272
735,481039,2013,20122567,6830.8311777402
735.1,481039,2013,20122568,4384.55331145497
735.2,481039,2013,20122569,269.02759498696
737,772187,2016,20122570,12370.1653507715
737.1,772187,2016,20122571,14403.4810599613
738,389368,2014,20122572,298.450181802517
739,253841,2010,20122573,1110.2393490696
740,56733,2016,20122574,916.253639095362
742,561749,2015,20122575,3567.46549676085
744,32122,2016,20122576,15830.8018063921
744.1,32122,2016,20122577,14001.3798857414
745,121101,2008,20122578,5493.17713322468
746,897780,2014,20122579,269.228874024853
748,634012,2009,20122580,635.651516733176
749,104352,2015,20122581,1046.5402394318
750,487816,2009,20122582,89.4977108868732
757,789851,2013,20122583,1.48261948835943
758,310765,2011,20122584,14.4433687578774
758.1,310765,2011,20122585,906.81415012141
759,181058,2014,20122586,637.5390889251
766,349398,2011,20122587,221.662671843551
770,702138,2009,20122588,24.5404265428959
771,764101,2009,20122589,128.566761099869
772,183921,2015,20122590,418.160992397282
774,415053,2011,20122591,37147.5354869256
774.1,415053,2011,20122592,6427.13388574342
778,251449,2008,20122593,194.235734132979
779,324847,2013,20122594,425.580401410474
780,981732,2014,20122595,733.825685678542
781,53708,2010,20122596,1822.19721604787
781.1,53708,2010,20122597,787.122067443957
782,627612,2014,20122598,18134.3030815368
782.1,627612,2014,20122599,18527.461045586
782.2,627612,2014,20122600,23368.9175059403
783,111540,2015,20122601,17359.5504087503
783.1,111540,2015,20122602,12411.7217679661
783.2,111540,2015,20122603,10829.5100406783
784,604210,2017,20122604,2770.47331935477
784.1,604210,2017,20122605,694.044328814626
785,594316,2015,20122606,10344.2673573062
789,430346,2012,20122607,917.612550288761
790,443699,2012,20122608,3795.22878977131
790.1,443699,2012,20122609,8412.73320124066
793,826186,2013,20122610,119.170411826672
793.1,826186,2013,20122611,1435.49556691725
794,121418,2010,20122612,1795.44291647744
796,586357,2015,20122613,795.117641575524
796.1,586357,2015,20122614,13781.8078709576
798,199879,2010,20122615,675.321699028268
802,393240,2008,20122616,1415.05111822251
804,976398,2014,20122617,594.448309066262
806,839810,2010,20122618,178.065523622248
807,876,2012,20122619,2799.68510251197
809,108146,2010,20122620,1228.76931023209
809.1,108146,2010,20122621,4435.36323707146
810,145651,2013,20122622,265.879046294457
810.1,145651,2013,20122623,3990.66666990245
811,979467,2014,20122624,873.770988617776
813,83733,2011,20122625,365.141510604339
814,664180,2016,20122626,354.804121042243
815,959019,2012,20122627,1927.14206848368
819,978078,2013,20122628,426.509296769326
819.1,978078,2013,20122629,417.142932524584
826,102512,2012,20122630,8175.60867201007
826.1,102512,2012,20122631,219154.50123672
826.2,102512,2012,20122632,77185.6214433321
826.3,102512,2012,20122633,2715.66744671767
828,865924,2011,20122634,489.451979580957
832,646740,2010,20122635,3529.12257476132
832.1,646740,2010,20122636,422.261659500978
833,700191,2011,20122637,138.646527729694
836,404832,2013,20122638,785.608414636296
837,548087,2014,20122639,469.246835323033
840,651276,2015,20122640,9.82327631452197
841,491811,2011,20122641,6210.14621655256
846,785991,2014,20122642,1130.0457851235
846.1,785991,2014,20122643,2739.76825898265
848,477427,2011,20122644,1372.71373409894
850,393599,2015,20122645,2384.67373537496
850.1,393599,2015,20122646,500.077644220697
851,973901,2017,20122647,1307.22923377504
851.1,973901,2017,20122648,817.173382743508
854,288963,2010,20122649,744.384546083117
854.1,288963,2010,20122650,462.346082273451
858,428943,2017,20122651,300.76656710737
859,534522,2008,20122652,204.190860853366
862,68784,2015,20122653,20264.4098585984
862.1,68784,2015,20122654,8484.79372002077
864,813401,2012,20122655,3881.73118765034
866,698499,2011,20122656,17769.1525380513
866.1,698499,2011,20122657,53036.2256626609
866.2,698499,2011,20122658,191.534119534943
871,979114,2014,20122659,1547.21573789455
871.1,979114,2014,20122660,2600.86618641707
872,595896,2015,20122661,3912.20139679555
874,501430,2009,20122662,3332.92478582857
875,548866,2014,20122663,455.220522979604
877,650218,2013,20122664,13581.3723225633
877.1,650218,2013,20122665,14004.9870044497
878,759441,2014,20122666,264.821388308403
881,511992,2014,20122667,99.6107687031511
883,200281,2009,20122668,4425.18947821713
886,279345,2012,20122669,346.882336035841
889,319811,2013,20122670,342.45241697618
890,467557,2008,20122671,1067.02352858147
891,276118,2015,20122672,67.7206490960228
893,543102,2013,20122673,484.803145409793
893.1,543102,2013,20122674,706.466247649156
894,672804,2008,20122675,1167.85650005023
895,110217,2010,20122676,2436.80854228439
895.1,110217,2010,20122677,11989.2102085778
904,328714,2008,20122678,2532.51303705864
904.1,328714,2008,20122679,476.148291799187
905,303429,2011,20122680,144.885707293938
908,86382,2009,20122681,19703.4905596488
908.1,86382,2009,20122682,3992.11528631582
909,64920,2011,20122683,3013.70542552792
910,329970,2009,20122684,17356.585362643
910.1,329970,2009,20122685,6950.17076868376
912,409358,2011,20122686,77.4515489705128
913,725949,2010,20122687,120.291121460076
915,449149,2017,20122688,178.908255544839
919,978608,2009,20122689,3779.67425746756
919.1,978608,2009,20122690,2112.64322447664
923,124243,2011,20122691,345.422534406789
924,325443,2016,20122692,3459.37316136361
924.1,325443,2016,20122693,5473.9435677664
924.2,325443,2016,20122694,2532.82451887485
925,413804,2013,20122695,506.84993614397
926,836360,2017,20122696,544.325793270097
927,748534,2016,20122697,20881.4123518328
927.1,748534,2016,20122698,22773.5966347364
927.2,748534,2016,20122699,2130.95639451841
928,876698,2009,20122700,796.86908386511
934,627901,2009,20122701,11210.5326114917
935,799929,2016,20122702,4926.58434036628
935.1,799929,2016,20122703,5304.24594791873
935.2,799929,2016,20122704,5651.47770840878
940,187105,2012,20122705,11800.2127080911
940.1,187105,2012,20122706,6439.74588761977
940.2,187105,2012,20122707,14937.6204676689
941,501116,2016,20122708,857.991445763026
943,827902,2017,20122709,5492.47699175865
943.1,827902,2017,20122710,3736.41372871598
946,635349,2016,20122711,732.709005872987
947,685431,2012,20122712,4981.55955234227
948,50098,2009,20122713,1113.54243314566
948.1,50098,2009,20122714,15669.1786705874
949,27471,2012,20122715,5757.87558985678
949.1,27471,2012,20122716,1244.5542215495
951,349369,2009,20122717,3907.30315831596
954,740950,2017,20122718,2879.54606980827
956,438547,2016,20122719,185.807864492702
957,23320,2016,20122720,12294.5784434939
961,818253,2016,20122721,1454.2152572905
962,932190,2010,20122722,1706.03959641041
966,609480,2010,20122723,768.8064107117
966.1,609480,2010,20122724,4664.31895130423
967,456994,2017,20122725,665.238649819685
968,263108,2008,20122726,2912.56160260358
969,710182,2017,20122727,2049.23560366887
970,621503,2015,20122728,3398.28149195909
970.1,621503,2015,20122729,154.617420184396
971,769384,2009,20122730,2938.29017691165
976,520835,2010,20122731,716.72487890716
977,19059,2011,20122732,755.349281724596
978,132469,2017,20122733,1233.68060352617
978.1,132469,2017,20122734,1155.76852765912
982,486201,2016,20122735,1065.40058991093
984,886023,2016,20122736,10812.8087443462
984.1,886023,2016,20122737,3571.34308437974
986,794757,2013,20122738,1304.07824813151
986.1,794757,2013,20122739,5946.14801185291
987,421243,2011,20122740,7628.85216541365
987.1,421243,2011,20122741,2919.2615580844
987.2,421243,2011,20122742,12738.4747387101
988,30932,2013,20122743,1013.89771187628
991,408383,2009,20122744,888.21967352073
994,152604,2009,20122745,6769.14853651783
994.1,152604,2009,20122746,3272.62750163288
996,755287,2017,20122747,24.0439791239545
996.1,755287,2017,20122748,909.057738745252
1001,273339,2014,20122749,1056.41599944371
1001.1,273339,2014,20122750,1846.20833316605
1007,480241,2010,20122751,391.653094581489
1010,70699,2014,20122752,217.714434224119
1011,996562,2009,20122753,13821.0798381712
1011.1,996562,2009,20122754,22716.9797841644
1012,163638,2014,20122755,1419.50952384836
1013,592011,2010,20122756,246.6216187815
1021,33386,2014,20122757,176.692465485366
1022,604332,2009,20122758,6959.34010113662
1022.1,604332,2009,20122759,3425.37580982999
1025,706450,2016,20122760,1492.43886898051
1026,609177,2017,20122761,1115.43040783351
1031,297270,2015,20122762,988.990148193797
1035,899961,2016,20122763,1462.09560153994
1038,104225,2009,20122764,332.729507632898
1039,219496,2014,20122765,1064.94241870156
1043,538287,2009,20122766,866.040818033809
1046,828286,2017,20122767,2964.93450293846
1048,985947,2009,20122768,1807.85274060779
1049,885721,2016,20122769,3017.8433884498
1052,833134,2016,20122770,187.020973271287
1057,651395,2013,20122771,1014.19722852747
1058,322151,2014,20122772,25877.3833349236
1058.1,322151,2014,20122773,28438.4278095825
1059,558323,2008,20122774,1396.10694664581
1065,827175,2010,20122775,2488.32467269212
1065.1,827175,2010,20122776,51774.7746856964
1073,880639,2009,20122777,2148.59323787127
1074,223416,2013,20122778,960.920039265434
1075,837855,2014,20122779,1071.65303644513
1076,42217,2010,20122780,1277.93196750897
1076.1,42217,2010,20122781,980.838796466872
1077,820021,2009,20122782,154.456614324616
1078,240495,2009,20122783,1779.50471977503
1078.1,240495,2009,20122784,196.764867660032
1081,110879,2017,20122785,3539.94391150154
1082,821492,2011,20122786,865.004521031141
1086,688176,2015,20122787,2584.96765280273
1089,392635,2017,20122788,720.383061997429
1091,603517,2010,20122789,1445.9010096247
1091.1,603517,2010,20122790,51.8990922738397
1092,153273,2016,20122791,8878.11419078087
1092.1,153273,2016,20122792,3164.74529023708
1095,344843,2015,20122793,175.1263161672
1098,344623,2016,20122794,1161.33102615479
1100,62704,2008,20122795,1218.45189697299
1102,109278,2016,20122796,95.3810547390562
1102.1,109278,2016,20122797,16965.9445056237
1103,638665,2011,20122798,245.418505493606
1104,793646,2010,20122799,176.49734490715
1104.1,793646,2010,20122800,1104.4711756208
1105,665896,2013,20122801,1958.39272662731
1106,760101,2016,20122802,844.224607423846
1107,33025,2015,20122803,365.549069061647
1108,719029,2016,20122804,2231.06177217344
1110,428157,2008,20122805,21395.5897330557
1110.1,428157,2008,20122806,8887.95489796573
